,lag,spearman_corr
0,-20,-0.3421595397669366
1,-19,-0.30606693947087543
2,-18,-0.2677741649237229
3,-17,-0.23612781799031393
4,-16,-0.20138070532736113
5,-15,-0.1572593305682689
6,-14,-0.11582136960102064
7,-13,-0.07333652365384129
8,-12,-0.04992003887912292
9,-11,-0.03659436522437131
10,-10,-0.033902378437546066
11,-9,-0.036644750116222695
12,-8,-0.050214904263502974
13,-7,-0.08817078299743798
14,-6,-0.13305764597289338
15,-5,-0.18119596492556347
16,-4,-0.23526680528367133
17,-3,-0.28908411324974986
18,-2,-0.3241849136051704
19,-1,-0.33900293608482035
20,0,-0.3283482010368211
21,1,-0.30558568592510255
22,2,-0.2812703591253752
23,3,-0.2671204362180877
24,4,-0.24227797009106916
25,5,-0.1853303117925097
26,6,-0.11751100064952663
27,7,-0.05032705183063569
28,8,0.006384032860238123
29,9,0.05560481602854299
30,10,0.11131909388623923
31,11,0.15648327044729587
32,12,0.17632761558974977
33,13,0.1977506749615
34,14,0.20890649763237631
35,15,0.22303406784548724
36,16,0.2261459820309796
37,17,0.20492516893992788
38,18,0.171104067534277
39,19,0.13257602323894
40,20,0.11240605127937273
