symbol,rows
RELIANCE.NS,1237
TCS.NS,1237
INFY.NS,1237
HDFCBANK.NS,1237
ICICIBANK.NS,1237
ITC.NS,1237
LT.NS,1237
HINDUNILVR.NS,1237
KOTAKBANK.NS,1237
SBIN.NS,1237
AXISBANK.NS,1237
BHARTIARTL.NS,1237
ASIANPAINT.NS,1237
MARUTI.NS,1237
SUNPHARMA.NS,1237
BAJFINANCE.NS,1237
BAJAJFINSV.NS,1237
POWERGRID.NS,1237
HCLTECH.NS,1237
ULTRACEMCO.NS,1237
NTPC.NS,1237
WIPRO.NS,1237
ONGC.NS,1237
TITAN.NS,1237
TATASTEEL.NS,1237
NESTLEIND.NS,1237
JSWSTEEL.NS,1237
ADANIENT.NS,1237
ADANIPORTS.NS,1237
GRASIM.NS,1237
M&M.NS,1237
BRITANNIA.NS,1237
TECHM.NS,1237
CIPLA.NS,1237
DRREDDY.NS,1237
COALINDIA.NS,1237
DIVISLAB.NS,1237
UPL.NS,1237
BPCL.NS,1237
HEROMOTOCO.NS,1237
BAJAJ-AUTO.NS,1237
EICHERMOT.NS,1237
SHREECEM.NS,1236
SBILIFE.NS,1237
HDFCLIFE.NS,1237
TATAMOTORS.NS,1237
INDUSINDBK.NS,1237
APOLLOHOSP.NS,1237
